Index, Current Heading, Target Heading
0, 1.0000, 0.3793, 
1, 1.0000, 0.3794, 
2, 0.9982, 0.3796, 
3, 0.9732, 0.3823, 
4, 0.9327, 0.3805, 
5, 0.8826, 0.3724, 
6, 0.8352, 0.3597, 
7, 0.7745, 0.1542, 
8, 0.6742, 0.3696, 
9, 0.5836, 0.0875, 
10, 0.4820, 0.0124, 
11, 0.3821, 0.1766, 
12, 0.2958, 0.0830, 
13, 0.2189, 0.0313, 
14, 0.1369, 0.1697, 
15, 0.0632, 0.1081, 
16, 0.0058, 0.0530, 
17, -0.0416, 0.0054, 
18, -0.0776, 0.1665, 
19, -0.1025, 0.3408, 
20, -0.1173, 0.3316, 
21, -0.1256, 0.3260, 
22, -0.1302, 0.3211, 
23, -0.1260, 0.3185, 
24, -0.1091, 0.2577, 
25, -0.0835, 0.2614, 
26, -0.0385, 0.2719, 
27, 0.0138, 0.2907, 
28, 0.0727, 0.2572, 
29, 0.1367, 0.2795, 
30, 0.2180, 0.3190, 
31, 0.2779, 0.3550, 
32, 0.3504, 0.3931, 
33, 0.4181, 0.3604, 
34, 0.4861, 0.4029, 
35, 0.5483, 0.2378, 
36, 0.6136, 0.2289, 
37, 0.6570, 0.2603, 
38, 0.6844, 0.2800, 
39, 0.6950, 0.2382, 
40, 0.6936, 0.2427, 
41, 0.6830, 0.2433, 
42, 0.6633, 0.2405, 
43, 0.6344, 0.4463, 
44, 0.6023, 0.4455, 
45, 0.5611, 0.3579, 
46, 0.5209, 0.3494, 
47, 0.4622, 0.1271, 
48, 0.3870, 0.0957, 
49, 0.3080, 0.0406, 
50, 0.2122, 0.2121, 
51, 0.1369, 0.1531, 
52, 0.0815, 0.0928, 
53, 0.0239, 0.0471, 
54, -0.0246, 0.2123, 
55, -0.0569, 0.1820, 
56, -0.0822, 0.3711, 
57, -0.0967, 0.3602, 
58, -0.1022, 0.2832, 
59, -0.0980, 0.2768, 
60, -0.0847, 0.2735, 
61, -0.0577, 0.2745, 
62, -0.0213, 0.2814, 
63, 0.0172, 0.2345, 
64, 0.0540, 0.2462, 
65, 0.0992, 0.2610, 
66, 0.1559, 0.2789, 
67, 0.2284, 0.3198, 
68, 0.3026, 0.2920, 
69, 0.3673, 0.3297, 
70, 0.4396, 0.3761, 
71, 0.5001, 0.4179, 
72, 0.5554, 0.3858, 
73, 0.5887, 0.4127, 
74, 0.6112, 0.4387, 
75, 0.6226, 0.3801, 
76, 0.6249, 0.3947, 
77, 0.6168, 0.4061, 
78, 0.5995, 0.4132, 
79, 0.5754, 0.4169, 
80, 0.5463, 0.3396, 
81, 0.5171, 0.3332, 
82, 0.4845, 0.3266, 
83, 0.4549, 0.3170, 
84, 0.4187, 0.3013, 
85, 0.3826, 0.2824, 
86, 0.3477, 0.2599, 
87, 0.3113, 0.4521, 
88, 0.2793, 0.3551, 
89, 0.2539, 0.3373, 
90, 0.2309, 0.3190, 
91, 0.2136, 0.3048, 
92, 0.2014, 0.2864, 
93, 0.1933, 0.2684, 
94, 0.1907, 0.2549, 
95, 0.1935, 0.3768, 
96, 0.2030, 0.3703, 
97, 0.2197, 0.3668, 
98, 0.2386, 0.3663, 
99, 0.2626, 0.3692, 
100, 0.2895, 0.3068, 
101, 0.3161, 0.3109, 
102, 0.3424, 0.3191, 
103, 0.3845, 0.3380, 
104, 0.4083, 0.2851, 
105, 0.4304, 0.2947, 
106, 0.4480, 0.3028, 
107, 0.4636, 0.3154, 
108, 0.4736, 0.3255, 
109, 0.4772, 0.2689, 
110, 0.4746, 0.2721, 
111, 0.4651, 0.2730, 
112, 0.4502, 0.2709, 
113, 0.4300, 0.2131, 
114, 0.4080, 0.3972, 
115, 0.3815, 0.3933, 
116, 0.3530, 0.3885, 
117, 0.3286, 0.3803, 
118, 0.3011, 0.3735, 
119, 0.2739, 0.2933, 
120, 0.2501, 0.2789, 
121, 0.2302, 0.2668, 
122, 0.2127, 0.2538, 
123, 0.1983, 0.2401, 
124, 0.1875, 0.4326, 
125, 0.1795, 0.4265, 
126, 0.1770, 0.3417, 
127, 0.1804, 0.3353, 
128, 0.1901, 0.3302, 
129, 0.2054, 0.3272, 
130, 0.2294, 0.3279, 
131, 0.2625, 0.2694, 
132, 0.2891, 0.2725, 
133, 0.3131, 0.2786, 
134, 0.3341, 0.2846, 
135, 0.3535, 0.2923, 
136, 0.3780, 0.3033, 
137, 0.3972, 0.2530, 
138, 0.4137, 0.2625, 
139, 0.4278, 0.2696, 
